Artist,Streams,Daily,As lead,Solo,As feature
MGMT,4234.9,1.976,2934.6,2922.3,1300.3
Dave,4231.7,7.924,3757.6,1568.4,474.2
Daya,4223.9,1.051,1794.1,1683.9,2429.8
Jax Jones,4213.8,1.756,3019.8,59.3,1194.0
Cazzu,4209.5,2.401,1082.0,514.3,3127.6
Plan B,4193.9,4.639,2724.6,2309.0,1469.3
Outkast,4191.4,2.414,4014.8,3629.5,176.6
Joan Sebastian,4190.4,3.075,4125.5,3486.7,64.9
Vicente FernÃ¡ndez,4176.5,3.185,4042.2,3965.5,134.3
Los Ãngeles Azules,4163.1,3.349,4013.9,1388.6,149.2
Becky Hill,4147.0,2.46,1446.0,265.5,2701.0
Jessie J,4142.1,1.497,4024.9,2097.0,117.2
AJR,4139.2,1.761,3915.2,3625.4,224.0
Iggy Azalea,4133.8,1.047,2710.9,733.0,1422.9
Clairo,4129.1,2.962,3144.9,2950.7,984.2
SEVENTEEN,4123.2,4.819,4095.9,4071.4,27.4
Armin van Buuren,4119.9,1.688,3612.5,803.7,507.4
Maren Morris,4111.3,1.405,1781.8,1491.5,2329.5
Stormzy,4108.6,1.676,2486.8,1567.9,1621.8
The Police,4108.1,3.022,4108.1,4097.6,
will.i.am,4101.7,1.796,1697.6,141.6,2404.1
ILLENIUM,4099.2,1.512,2867.0,164.8,1232.2
Sam Feldt,4094.8,1.486,2989.1,137.5,1105.7
Seeb,4090.7,0.989,907.3,6.7,3183.4
RAYE,4088.4,2.678,1502.1,356.1,2586.3
La Arrolladora Banda El LimÃ³n De Rene Camacho,4086.1,2.47,4064.0,4002.4,22.1
Damso,4065.7,2.246,2778.4,2525.7,1287.3
Luciano,4064.5,2.397,2818.5,2028.2,1246.0
Eslabon Armado,4054.8,5.809,3828.5,2063.4,226.3
Jesse & Joy,4006.7,2.565,3478.4,2487.5,528.3
Zach Bryan,4001.4,24.173,4001.4,3781.4,
Jeremy Zucker,4000.0,1.314,3683.8,1546.5,316.3
CNCO,3987.2,1.001,3571.5,2298.9,415.7
Rod Wave,3986.4,4.091,3842.3,3115.2,144.1
Passenger,3980.7,1.434,3980.7,3797.5,
Foster The People,3966.2,1.411,3774.7,3680.1,191.5
Luis R Conriquez,3934.1,5.908,1921.6,1216.8,2012.5
Nas,3934.0,1.951,2824.6,1709.9,1109.3
Cage The Elephant,3922.4,1.923,3922.4,3853.3,
Carlos Vives,3919.3,1.691,3417.1,1329.8,502.1
Mitski,3916.9,3.871,3881.6,3881.6,35.3
MEDUZA,3915.5,2.946,3651.6,6.8,263.9
Sigala,3899.5,1.343,3345.9,486.6,553.6
Juan Gabriel,3891.3,2.731,3589.0,2910.1,302.3
Sabrina Carpenter,3887.7,4.664,2838.8,2706.9,1048.9
Lyanno,3880.0,2.04,514.1,110.0,3365.9
Juan MagÃ¡n,3858.6,1.03,2168.0,564.5,1690.6
The Cure,3855.1,2.623,3853.1,3791.0,1.9
Bob Dylan,3849.8,1.311,3842.4,3608.8,7.4
The Game,3847.6,1.659,3211.1,503.4,636.4
Marvin Gaye,3833.6,2.28,3762.6,2169.5,71.0
Bibi und Tina,3823.5,3.494,3823.5,3472.3,
Korn,3804.5,2.562,3790.5,3438.0,14.0
Blake Shelton,3798.2,1.305,3435.9,2722.4,362.3
James Blunt,3797.9,1.438,3083.1,3052.7,714.8
Zac Brown Band,3793.3,2.095,3777.5,3171.0,15.8
John Williams,3782.5,1.891,2357.4,1276.5,1425.1
Wale,3779.8,1.118,2130.3,367.2,1649.5
Chase Atlantic,3775.1,4.761,3737.2,3507.7,37.9
Hillsong Worship,3759.5,1.866,3759.5,1379.4,
Nelly Furtado,3755.1,3.231,3312.5,1684.0,442.7
Soda Stereo,3750.5,2.58,3750.5,3748.8,
Ufo361,3732.4,1.334,3063.2,1586.1,669.2
Imanbek,3730.5,1.624,1009.6,4.7,2720.9
Shreya Ghoshal,3727.7,7.646,726.8,358.4,3000.8
Gzuz,3726.7,1.366,1583.5,616.4,2143.2
Mau y Ricky,3726.5,1.329,2442.9,407.2,1283.6
Iron Maiden,3722.3,1.752,3722.3,3722.3,
Gwen Stefani,3715.7,1.878,2484.6,1321.7,1231.1
Pentatonix,3710.6,0.487,3694.7,3283.5,15.9
Cosculluela,3699.7,2.003,1862.8,648.8,1836.9
Madison Beer,3689.2,1.612,2584.1,2255.1,1105.0
Journey,3687.0,2.048,3687.0,3631.9,
Skillet,3682.2,1.826,3682.2,3656.8,
Nicki Nicole,3681.7,5.472,1334.9,648.9,2346.8
Zion,3672.3,2.059,348.5,263.4,3323.8
Boyce Avenue,3661.0,0.974,3661.0,2298.1,
Lil Jon,3657.9,1.86,692.4,14.2,2965.6
Central Cee,3648.2,8.016,2751.9,2619.4,896.3
PNL,3639.9,1.818,3639.9,3561.1,
Gerardo Ortiz,3638.6,2.196,2871.4,2690.4,767.2
C. Tangana,3634.1,1.701,3197.8,972.7,436.4
Luan Santana,3630.9,3.495,3065.9,2287.7,564.9
Carly Rae Jepsen,3621.7,1.939,2989.8,2910.2,631.9
Depeche Mode,3619.1,2.291,3619.1,2717.1,
Eric Church,3612.8,1.624,3228.7,3196.8,384.1
Tom Odell,3599.7,2.801,3552.8,3177.9,46.9
Tiago PZK,3586.9,4.597,1884.8,356.1,1702.1
Weezer,3584.6,1.938,3561.7,3519.8,22.9
alt-J,3584.6,2.152,3583.0,3419.7,1.6
Tim McGraw,3582.7,1.682,3204.6,2397.3,378.2
The Doors,3574.0,1.813,3360.9,3359.9,213.1
MARINA,3556.8,2.584,3344.6,3294.7,212.2
Shaggy,3545.3,2.021,2362.9,461.0,1182.5
A.R. Rahman,3543.5,4.855,3434.1,262.8,109.4
Santa Fe Klan,3530.8,2.714,2024.9,787.1,1505.9
Rudimental,3530.7,1.503,3107.5,22.5,423.2
The Smiths,3524.6,3.512,3524.6,3524.6,
Joey Bada$$,3523.2,1.814,2402.0,1897.3,1121.2
bbno$,3520.5,1.806,1628.2,222.9,1892.3
Mike Posner,3507.0,1.248,3356.1,567.4,150.9
Gera MX,3494.6,2.855,2425.8,761.6,1068.8
Pusha T,3492.7,1.288,1315.4,455.5,2177.3
Gente De Zona,3492.0,1.103,1416.2,317.8,2075.8
The Black Keys,3489.3,1.365,3489.2,3483.8,0.1
Rod Stewart,3482.7,1.563,2892.3,2589.0,590.3
Birdy,3479.0,1.254,3321.9,2889.8,157.1
LMFAO,3476.7,1.451,3196.6,1332.8,280.1
Chief Keef,3475.0,2.251,2547.5,1721.6,927.5
Noah Cyrus,3454.4,1.352,2479.7,1363.2,974.7
Yeat,3445.1,6.344,3360.3,2942.8,84.9
Joyner Lucas,3444.2,1.149,2612.4,1260.6,831.8
Papa Roach,3437.3,1.527,3379.9,3203.6,57.3
Skepta,3428.9,1.598,1331.1,547.0,2097.8
SAINt JHN,3420.0,1.038,3215.6,781.3,204.3
Kenny Chesney,3411.4,1.547,3273.0,2782.4,138.4
Rise Against,3406.8,1.323,3403.1,3399.7,3.7
Yo Gotti,3395.9,0.835,1806.5,495.0,1589.4
Swedish House Mafia,3395.3,3.082,3214.3,738.4,181.0
The Vamps,3394.7,0.826,2894.6,1256.5,500.1
Ludovico Einaudi,3391.3,1.668,3341.1,2083.6,50.3
Dermot Kennedy,3384.7,1.778,2563.2,2515.6,821.5
Marco Antonio SolÃ­s,3380.8,2.397,2710.6,2492.7,670.2
BROCKHAMPTON,3375.3,0.691,3375.3,3220.5,
Ice Cube,3374.2,2.266,3112.0,2418.9,262.3
Surfaces,3370.8,0.839,3363.2,2997.8,7.6
Why Don't We,3364.0,1.054,3213.1,2956.7,151.0
"Earth, Wind & Fire",3359.5,2.01,3214.3,2767.1,145.2
Paul McCartney,3358.9,1.321,1863.4,1414.6,1495.4
Jeezy,3356.3,1.119,1697.1,558.3,1659.2
Joel Corry,3347.3,2.105,3006.1,414.0,341.1
TOMORROW X TOGETHER,3345.0,3.19,3207.9,3092.2,137.0
Alex Rose,3332.7,1.421,2316.1,176.9,1016.6
R.E.M.,3329.7,2.061,3329.7,3324.0,
Baby Keem,3327.7,4.09,3214.1,2134.6,113.6
Alfredo Olivas,3315.9,5.067,3111.3,3066.9,204.6
DJ Nelson,3313.3,2.186,1045.0,483.3,2268.3
Bea Miller,3306.8,1.019,1565.6,1286.5,1741.2
Aitana,3306.0,2.371,1948.8,969.0,1357.1
Carlos Rivera,3303.7,1.449,2653.8,2000.5,649.9
Os BarÃµes Da Pisadinha,3303.5,1.286,2660.5,1838.1,642.9
Destiny's Child,3300.2,1.562,3281.2,3048.6,19.0
Carrie Underwood,3299.3,1.489,2740.1,2573.0,559.1
Oliver Tree,3299.2,2.688,2790.9,1891.0,508.3
Keith Urban,3296.7,1.121,2844.3,2246.4,452.4
Eric Clapton,3294.6,1.349,3108.0,2747.4,186.6
The Beach Boys,3288.1,1.665,3288.1,3259.5,
Topic,3281.0,1.878,1887.1,24.4,1393.9
JP Cooper,3281.0,0.739,1875.8,1557.1,1405.2
Norah Jones,3278.8,1.365,3009.9,2950.4,269.0
George Michael,3273.7,1.906,3225.6,2754.6,48.1
EXO,3271.4,1.733,3271.4,3271.4,
Grupo Frontera,3268.7,14.428,2018.6,743.0,1250.1
Milky Chance,3263.8,1.763,3263.8,3060.9,
Limp Bizkit,3262.2,2.416,3261.2,3137.5,1.0
El Fantasma,3261.7,2.069,3134.7,2215.7,127.0
Jorja Smith,3250.5,1.995,2221.4,1380.0,1029.1
Busta Rhymes,3244.3,1.376,1376.6,520.6,1867.7
AminÃ©,3244.1,1.19,2964.4,2387.3,279.7
Mabel,3239.5,0.783,2159.6,1688.2,1079.9
Bradley Cooper,3226.5,1.056,395.2,395.2,2831.4
Simon & Garfunkel,3224.9,1.507,3224.9,3223.7,
Sido,3222.8,1.459,2166.1,1237.2,1056.7
Gryffin,3221.2,0.903,2481.0,10.4,740.3
MNEK,3219.9,1.135,1086.0,93.7,2134.0
GIMS,3216.3,1.575,2480.9,1285.7,735.4
TOTO,3215.2,1.989,3213.4,3207.6,1.9
Niska,3212.7,1.435,2004.0,1246.1,1208.7
Samra,3202.0,0.838,1762.2,1036.2,1439.8
Hillsong UNITED,3200.8,1.246,3182.9,731.0,18.0
Christina Perri,3195.8,1.499,2973.3,2935.3,222.5
Leslie Odom Jr.,3194.7,1.17,1596.2,94.5,1598.6
Liam Payne,3193.0,0.47,2350.3,424.4,842.7
WILLOW,3180.9,1.391,2001.4,1580.8,1179.5
Jon Bellion,3160.4,0.673,2375.7,2084.4,784.6
Los Tigres Del Norte,3152.5,2.67,3107.8,2932.6,44.6
DNCE,3152.5,1.044,2651.7,2454.3,500.8
Olivia O'Brien,3152.4,0.818,1692.1,1425.7,1460.2
JosÃ© JosÃ©,3150.1,2.334,3125.5,2856.4,24.6
Missy Elliott,3147.6,1.3,1356.5,819.3,1791.1
Juan Luis Guerra 4.40,3145.9,2.66,2265.7,2140.2,880.2
Natalia Lafourcade,3138.5,1.863,2228.8,1500.0,909.6
Breaking Benjamin,3130.2,1.271,3090.2,3020.2,40.0
Cali Y El Dandee,3128.6,1.19,2029.3,719.0,1099.3
Ha*Ash,3120.2,2.04,2557.9,2000.6,562.3
Black Sabbath,3119.1,1.995,3119.1,3118.7,
Normani,3113.1,0.974,687.8,376.7,2425.4
Booba,3112.2,1.228,2207.5,1540.7,904.7
Dimitri Vegas & Like Mike,3106.8,1.23,2817.8,96.5,289.0
Adam Levine,3102.2,1.594,387.3,372.8,2715.0
Matoma,3099.1,0.508,1826.1,75.9,1273.0
The Cranberries,3097.3,2.068,3097.3,3095.2,
Saweetie,3095.3,1.231,1993.3,928.2,1102.1
Lynyrd Skynyrd,3093.2,1.891,3093.0,3074.5,0.1
girl in red,3088.6,2.268,3088.6,3088.6,
Juhn,3081.2,1.244,514.1,128.9,2567.0
Years & Years,3078.8,0.857,2671.9,2192.0,406.9
Van Morrison,3073.6,1.662,2964.4,2899.5,109.2
GuÃ¨,3071.5,2.09,1746.6,500.2,1324.9
Volbeat,3068.9,1.211,3068.9,2676.0,
Kodaline,3061.2,1.088,2757.5,2689.1,303.7
Robbie Williams,3052.9,1.315,2986.2,2635.7,66.7
Julieta Venegas,3049.8,2.286,1556.4,1311.8,1493.4
Aya Nakamura,3035.9,1.595,2844.1,1959.4,191.8
Ruth B.,3029.4,2.086,2926.4,2664.6,103.0
Deftones,3015.3,4.045,3015.3,3000.7,
Jimi Hendrix,3013.6,1.204,3013.0,2987.1,0.6
Denzel Curry,3012.6,1.344,2061.4,1249.8,951.3
Van Halen,3005.0,1.813,3005.0,2996.4,
LUDMILLA,2994.8,3.226,1949.6,895.8,1045.2
Apache 207,2991.2,2.465,2716.2,2566.3,275.0
Jessie Reyez,2983.3,1.091,987.9,651.3,1995.4
Sidhu Moose Wala,2964.3,4.22,2680.0,1241.5,284.3
ODESZA,2963.2,1.242,2579.7,985.3,383.6
Shinedown,2953.0,1.265,2953.0,2938.3,
Sleepy Hallow,2951.5,2.688,2431.6,1542.6,519.9
Sabaton,2947.8,1.457,2932.7,2882.9,15.1
Melendi,2946.2,1.719,2757.0,2173.9,189.3
Ella Mai,2939.4,1.223,2442.4,1897.0,497.0
Wyclef Jean,2937.0,1.426,536.3,83.3,2400.6
ZoÃ©,2936.8,1.767,2921.7,2792.7,15.1
Rage Against The Machine,2935.7,1.414,2935.7,2935.7,
George Strait,2934.9,1.618,2891.8,2819.4,43.1
DÃ­melo Flow,2934.4,0.833,817.2,0.2,2117.2
Casper Magico,2933.7,0.999,479.6,35.7,2454.1
MatuÃª,2932.0,2.773,2162.8,1542.7,769.2
David Bisbal,2924.6,1.143,2036.7,1257.8,887.8
Bruno & Marrone,2922.0,1.751,2342.1,1970.6,579.9
Jowell & Randy,2916.5,1.697,894.2,295.9,2022.3
The White Stripes,2915.0,1.55,2915.0,2867.6,
Internet Money,2914.7,1.044,2403.5,2.0,511.2
Nekfeu,2907.7,1.182,2251.5,1404.3,656.2
All Time Low,2895.2,1.03,2867.5,2437.3,27.6
Red Velvet,2890.5,1.197,2868.4,2845.9,22.2
Ms. Lauryn Hill,2888.0,1.846,1301.1,1123.3,1586.9
Alan Jackson,2882.2,1.943,2664.3,2361.7,217.9
Capo Plaza,2881.4,1.703,1584.8,945.8,1296.7
Scorpions,2881.2,1.669,2880.2,2841.2,1.0
Jaden,2874.6,0.71,2208.7,1605.3,665.9
Andy Grammer,2874.3,1.024,2683.1,2495.3,191.2
Diddy,2868.7,1.475,1318.5,12.1,1550.2
Evanescence,2864.5,1.801,2864.5,2857.5,
Grey,2864.3,0.658,101.6,14.4,2762.7
Jasmine Thompson,2856.2,0.687,1511.4,1385.6,1344.8
The Fray,2854.0,1.105,2849.0,2848.1,5.0
KISS,2848.7,1.549,2848.3,2830.5,0.4
Phoebe Bridgers,2843.7,3.746,1802.5,1734.6,1041.3
Skylar Grey,2841.8,0.807,575.9,356.1,2265.9
Lord Huron,2838.6,2.34,2838.6,2574.8,
Young Dolph,2837.8,1.598,2176.2,1134.4,661.6
Dolly Parton,2837.6,1.408,2374.6,1744.5,463.0
Leon Bridges,2835.1,1.633,1957.2,1782.6,877.9
Kontra K,2828.5,1.626,2475.7,1777.2,352.8
Ray Dalton,2824.1,1.96,241.2,153.1,2582.9
Dilsinho,2823.8,1.886,1967.5,1109.1,856.3
Sublime,2823.5,1.421,2821.4,2772.7,2.1
The xx,2823.4,0.773,2790.9,2657.5,32.5
Rag'n'Bone Man,2822.7,0.95,1925.7,1756.1,897.0
Quinn XCII,2818.9,0.641,1962.9,1352.6,856.0
Prince,2802.2,1.267,2797.5,2606.9,4.7
Banda El Recodo,2801.3,1.535,2728.1,2606.9,73.2
Hollywood Undead,2800.5,0.948,2774.0,2689.9,26.5
Danna Paola,2795.8,1.475,1917.0,1512.6,878.8
Mon Laferte,2795.2,1.928,2366.0,1653.0,429.2
Daryl Hall & John Oates,2791.5,1.992,2791.5,2760.1,
A Day To Remember,2785.6,1.057,2702.5,2694.7,83.0
KYLE,2771.6,0.486,2592.0,606.1,179.7
Lazza,2770.5,2.911,1637.3,844.6,1133.2
beabadoobee,2767.0,2.856,1217.5,1092.2,1549.5
Ozzy Osbourne,2764.3,1.553,2177.8,2047.5,586.6
Enya,2761.3,1.321,2727.5,2726.3,33.7
Los Temerarios,2756.5,3.99,2756.5,2756.5,
Jay Rock,2754.3,1.735,1386.5,248.2,1367.8
Stromae,2746.4,1.406,2676.6,2429.1,69.8
Shania Twain,2744.1,2.077,2465.9,2348.7,278.3
Chelsea Cutler,2738.4,0.738,965.3,741.2,1773.1
Tinashe,2738.2,0.753,1408.8,577.7,1329.5
King Von,2733.1,2.87,2254.9,1487.0,478.1
Powfu,2724.6,1.056,2277.2,202.8,447.4
Mike WiLL Made-It,2724.3,1.46,2050.7,0.6,673.6
The Smashing Pumpkins,2719.1,1.698,2719.1,2718.8,
Sum 41,2716.5,1.537,2707.7,2703.1,8.8
Pedro CapÃ³,2716.3,1.076,1532.6,321.0,1183.7
Zendaya,2712.4,1.348,382.3,311.6,2330.1
R. Kelly,2711.3,0.696,1936.8,1498.8,774.6
Charlie Brown Jr.,2706.9,2.174,2663.0,2556.1,43.9
Aretha Franklin,2702.7,1.293,2624.1,2455.4,78.6
Jay Chou,2702.6,1.709,2699.0,2306.7,3.6
SCH,2701.6,1.53,1621.2,1288.0,1080.3
KEVIN ROLDAN,2697.3,1.2,1822.3,863.1,875.1
AlemÃ¡n,2692.8,1.989,1689.8,572.5,1003.0
Los Tucanes De Tijuana,2690.3,3.526,2632.0,2593.9,58.2
Keane,2688.5,1.907,2688.5,2637.9,
Elevation Worship,2682.5,2.067,2642.3,1858.1,40.2
Goodboys,2681.4,1.122,112.3,92.6,2569.1
DMX,2680.6,1.218,2376.6,2046.3,304.0
Rich Brian,2679.2,0.94,1486.8,961.0,1192.4
Kim Petras,2677.0,2.541,851.8,748.1,1825.2
Ciara,2676.8,1.479,2146.0,990.6,530.9
Electric Light Orchestra,2675.4,1.4,2613.6,2613.6,61.8
Mc Don Juan,2670.8,3.045,1176.0,469.4,1494.8
LP,2670.1,1.987,2604.5,2578.5,65.6
Ezhel,2668.2,1.555,1371.0,1276.4,1297.1
Almighty,2666.3,1.361,334.8,161.5,2331.6
Ja Rule,2665.5,1.166,1732.0,133.2,933.5
Of Monsters and Men,2664.3,0.929,2664.3,2651.7,
Tyler Childers,2663.9,4.411,2663.9,2310.9,
WALK THE MOON,2663.6,0.966,2558.7,2545.8,104.8
LuÃ­sa Sonza,2663.0,10.861,1653.0,912.1,1010.0
Dominic Fike,2656.7,3.672,2375.4,2075.3,281.3
Timmy Trumpet,2655.0,1.483,1750.8,292.2,904.2
MC Ryan SP,2653.1,5.112,551.5,84.7,2101.6
Ali Gatie,2649.0,0.934,2428.2,2239.0,220.8
Martin Jensen,2648.9,0.61,1932.9,1070.9,716.0
Desiigner,2648.7,0.423,2064.6,1906.0,584.1
Ella Henderson,2645.1,2.367,1180.0,920.7,1465.2
Sting,2633.4,1.279,2154.9,1708.3,478.4
YOASOBI,2628.9,3.168,2628.9,2593.6,
Cavetown,2628.3,1.346,2527.6,2455.4,100.7
Salmo,2627.5,0.937,1610.9,948.1,1016.6
Miranda Lambert,2623.5,1.23,1994.7,1809.4,628.8
Hardwell,2621.2,0.937,2069.6,218.9,551.6
Marracash,2619.8,1.665,1681.8,689.9,938.0
Blueface,2615.7,0.87,1569.4,824.9,1046.3
Nick Jonas,2615.0,0.641,2531.1,1410.0,83.9
Astrid S,2609.4,0.668,1841.1,1637.8,768.4
Method Man,2607.2,1.218,646.4,184.2,1960.8
gnash,2603.4,0.548,2310.9,643.9,292.5
Kelsea Ballerini,2601.0,1.434,1813.1,1463.1,787.9
Don Diablo,2599.0,0.818,1734.1,577.0,864.9
3 Doors Down,2595.1,1.32,2593.3,2454.6,1.8
YUNGBLUD,2585.5,1.069,1720.1,1279.4,865.4
MF DOOM,2583.5,2.62,1355.7,924.8,1227.8
Jon Pardi,2576.7,2.084,2366.6,2353.1,210.1
Rascal Flatts,2575.9,1.048,2500.2,2448.5,75.7
Marilyn Manson,2573.5,1.136,2505.4,2499.8,68.1
Willie Nelson,2569.9,1.516,1228.0,946.1,1342.0
MC Kevinho,2565.2,0.552,1635.8,1027.0,929.4
La Adictiva,2564.7,1.882,2526.0,2138.4,38.7
Colbie Caillat,2564.5,1.008,1790.0,1732.1,774.5
Mario,2564.4,2.196,2514.7,2440.0,49.6
John Newman,2559.3,1.04,991.5,907.1,1567.8
Hugo & Guilherme,2555.3,2.851,1967.9,1282.5,587.4
BONES,2554.0,1.966,2308.0,1955.0,246.0
Travis Barker,2550.3,0.952,100.8,,2449.5
Sleeping At Last,2546.2,1.068,2540.2,2536.2,6.0
JuliÃ³n Ãlvarez y su NorteÃ±o Banda,2541.7,3.214,2473.0,2454.9,68.7
Willy William,2541.3,0.731,303.5,270.2,2237.8
Bill Withers,2539.6,1.948,2018.5,1998.5,521.1
Oh Wonder,2538.4,0.809,1470.7,1469.4,1067.7
La Oreja de Van Gogh,2537.4,1.83,2521.2,2350.1,16.2
CRO,2537.3,2.006,2178.0,1857.1,359.4
Axwell /\ Ingrosso,2536.9,0.668,2536.9,1657.9,
Bethel Music,2536.3,1.141,2536.3,292.4,
PNAU,2528.5,1.721,728.0,55.2,1800.5
Rafa PabÃ¶n,2528.1,0.81,122.2,60.8,2405.9
Stefflon Don,2525.3,0.688,565.2,291.1,1960.1
Louis Tomlinson,2524.6,0.992,1991.8,1411.5,532.8
Gabry Ponte,2523.4,1.601,928.3,51.8,1595.1
Noah Kahan,2523.2,6.424,2298.7,1801.4,224.5
LIT killah,2521.7,3.021,1271.7,532.3,1250.0
Grupo Marca Registrada,2516.9,3.869,2279.5,1395.8,237.4
Summer Cem,2506.1,1.159,1217.9,441.7,1288.2
The Clash,2505.8,1.211,2505.8,2505.6,
Rema,2499.7,4.302,2126.6,1031.3,373.0
Mary J. Blige,2496.9,1.291,1848.4,1368.7,648.5
Naps,2491.4,1.57,1635.3,860.4,856.1
NewJeans,2489.8,10.001,2478.8,2471.6,11.1
Tee Grizzley,2488.9,0.904,2104.9,1051.4,384.0
Dadju,2487.6,1.325,1655.2,938.5,832.4
Tech N9ne,2482.9,0.814,2088.3,969.4,394.6
Yung Gravy,2482.3,1.216,2423.2,1331.5,59.1
Tears For Fears,2475.4,2.495,2475.4,2146.3,
MÃ¶tley CrÃ¼e,2475.1,1.438,2463.5,2428.4,11.6
M83,2474.6,1.474,2458.8,2240.6,15.8
(G)I-DLE,2472.4,2.985,1759.9,1750.6,712.6
Regard,2472.1,0.968,2287.8,1228.2,184.3
Los Bukis,2465.1,2.367,2302.8,2301.3,162.3
Annie Lennox,2462.6,1.245,749.1,742.8,1713.6
Wham!,2460.7,1.089,2459.8,2458.8,1.0
MAX,2459.1,0.879,1646.0,444.5,813.1
Two Door Cinema Club,2456.4,1.038,2453.3,2398.1,3.2
Dean Martin,2454.8,0.87,2446.2,2272.6,8.6
Zac Efron,2451.4,1.047,1107.2,,1344.2
Ashanti,2450.4,1.477,892.7,742.1,1557.7
ANAVITÃRIA,2449.9,1.225,2096.2,1279.1,353.7
Key Glock,2447.9,2.751,1763.7,1763.1,684.2
Jubin Nautiyal,2443.3,3.566,931.2,364.0,1512.1
Beret,2442.2,1.195,2050.7,1551.7,391.5
Dierks Bentley,2439.8,1.029,2261.0,1863.0,178.9
Elley DuhÃ©,2439.3,2.49,1070.9,985.7,1368.4
Tanishk Bagchi,2435.1,4.258,840.6,0.6,1594.4
Conor Maynard,2433.5,0.611,1079.5,958.6,1354.0
Westlife,2431.2,1.1,2361.8,2245.8,69.5
Ghostemane,2430.5,1.383,2290.2,1654.6,140.3
Nacho,2426.9,0.484,1331.2,363.3,1095.7
Mother Mother,2419.1,1.597,2419.1,2418.2,
Fergie,2417.1,1.183,2180.4,975.0,236.7
keshi,2416.0,2.723,2293.3,2264.0,122.7
Kacey Musgraves,2415.9,3.109,2170.2,2065.8,245.7
Trueno,2413.6,2.393,1642.3,642.4,771.3
Lofi Fruits Music,2413.6,1.353,2407.7,13.8,5.8
The Goo Goo Dolls,2412.0,1.522,2412.0,2407.3,
Deorro,2411.8,0.748,2163.6,487.0,248.2
NIKI,2408.7,2.277,1892.8,1713.1,515.8
Sasha Alex Sloan,2408.2,1.185,1657.7,1515.7,750.5
Nimo,2407.8,0.777,1286.0,567.8,1121.8
Taio Cruz,2407.2,1.175,2118.0,1155.8,289.3
Intocable,2406.8,1.749,2328.0,2323.6,78.9
Kollegah,2406.4,0.618,2172.3,1291.4,234.1
Alice In Chains,2406.3,1.519,2401.3,2400.8,5.0
E-40,2404.5,0.754,789.4,199.4,1615.1
Two Feet,2403.4,1.263,2279.2,2230.3,124.2
Nat King Cole,2403.2,9.818,2305.0,2243.6,98.2
Lee Brice,2399.1,1.29,2348.2,2139.9,50.8
IU,2398.5,1.419,2133.1,1610.1,265.4
Loud Luxury,2394.6,1.253,2204.3,67.0,190.2
Queens of the Stone Age,2393.9,1.413,2393.9,2393.7,
Vintage Culture,2376.7,2.346,1334.0,91.4,1042.6
Yuridia,2374.7,1.797,2149.1,1642.4,225.7
Sin Bandera,2372.1,1.478,2187.3,2138.1,184.8
Kylie Minogue,2368.0,2.112,2118.5,1899.7,249.5
VIZE,2367.7,0.973,1203.6,157.2,1164.1
thasup,2366.1,0.921,1298.7,633.0,1067.4
Oliver Heldens,2365.2,0.908,1350.2,235.3,1015.0
a-ha,2363.3,1.64,2363.3,2352.2,
Ghost,2361.9,2.775,2361.9,2340.0,
Vince Staples,2360.5,0.795,1475.0,1060.1,885.5
Aloe Blacc,2360.3,0.547,968.6,933.1,1391.7
Owl City,2359.2,0.941,2263.8,1546.8,95.4
Gemitaiz,2358.0,0.778,1711.7,655.4,646.3
Santana,2356.5,1.55,2323.4,985.1,33.0
Sean Kingston,2354.5,1.237,2076.6,1360.3,277.9
Pepe Aguilar,2350.8,1.192,1996.2,1521.1,354.7
Calle 13,2344.9,1.073,2226.0,1608.6,118.9
John Lennon,2344.0,1.042,2340.3,1790.7,3.7
Ben Howard,2343.4,0.613,2341.7,2298.5,1.7
Morad,2342.9,4.035,1148.5,928.3,1194.4
Arizona Zervas,2339.3,0.624,2305.4,2178.4,33.9
Miky Woodz,2334.3,0.86,787.0,310.9,1547.3
Gustavo Mioto,2326.0,2.83,1999.8,1039.1,326.2
Lady A,2326.0,0.89,2159.3,2154.1,166.7
James Blake,2325.1,1.578,1422.0,986.1,903.1
The Kooks,2321.5,0.869,2314.3,2280.4,7.2
Lily Allen,2319.8,0.8,1831.3,1792.4,488.5
Ferrugem,2317.8,1.81,1563.8,1220.2,754.0
The Pussycat Dolls,2316.4,1.17,2149.8,1382.3,166.6
SofÃ­a Reyes,2314.3,1.171,1537.3,99.0,777.0
Silk Sonic,2311.8,1.675,,,2311.8
Portugal. The Man,2310.6,0.838,2251.7,2027.0,58.9
Los Dos Carnales,2310.5,1.532,1666.9,1594.2,643.6
AJ Tracey,2309.7,0.736,1374.7,779.1,935.0
Brray,2307.1,2.605,182.4,35.0,2124.7
Thirty Seconds To Mars,2304.0,1.001,2240.2,2164.9,63.8
Israel & Rodolffo,2302.4,2.489,2048.1,987.3,254.3
Dido,2295.9,1.458,1277.9,1242.7,1018.0
Gigi D'Agostino,2293.4,0.966,850.6,784.7,1442.9
JVKE,2293.2,3.593,1839.2,1642.6,454.0
Carla Morrison,2292.1,1.782,1759.3,1684.0,532.8
Jaymes Young,2291.9,0.997,2197.1,2080.0,94.8
Thalia,2287.0,0.77,2067.0,903.9,220.1
G Herbo,2286.5,1.296,1359.5,537.0,927.0
Rich Homie Quan,2286.2,0.529,894.9,839.0,1391.3
A7S,2285.0,0.964,61.5,55.3,2223.5
